"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051276","chromosome organization","226/3142","463/10476",0.488120950323974,1.62748411062825,9.03900806148535,2.87815563403454e-18,1.41231096962075e-14,1.3584894592643e-14,"POLDIP2/CDC27/BAZ1B/NCAPD2/TACC3/HMGB3/RFC1/SPDL1/TPR/ARID1B/RAD51/NDC1/RNF4/PRKCQ/KDM4A/STAG3/NUP133/SMC1A/XRCC1/SMARCE1/ACTB/MLH1/SPAG5/SIRT6/XRCC5/NDC80/PDS5B/ATRX/CHMP5/CDC23/AAAS/BCL7C/CCNB1IP1/APEX1/MYBL2/CHMP4B/NAA10/MAPK3/RAB11A/NBN/DOT1L/CCNE1/RPA3/SMC3/RAD51C/KPNB1/SMARCD2/RANGRF/GAR1/ANAPC15/PTGES3/BCL7A/NUP107/FBXO5/PPP2R5D/SENP6/MSH3/NUP155/SMC4/INO80D/CCT4/MAD2L2/UCHL5/CDC20/CENPF/RPA2/SLF2/NAA50/KIF18A/PDS5A/SHLD2/ZWINT/CENPK/CDK2/H1-3/MAD2L1BP/XRCC3/HSPA2/POT1/KNSTRN/SGO1/MAU2/TUBG1/TOP2A/GCH1/SLX1A/RAN/PCNA/SLF1/CCNB1/APC/NAT10/ESPL1/CCT7/BRIP1/ACTL6A/SMC2/XPA/PPP2R1B/NUSAP1/CENPO/DNA2/SMARCAL1/HNRNPD/CENPE/NABP2/BRCA2/KATNB1/ESCO1/TP53/ANAPC11/P3H4/ITGB3BP/KIF2C/NUF2/PARP1/FANCD2/DYNC1LI1/NHP2/CDCA5/CCT6A/NCAPG2/MCPH1/EML3/INCENP/LTO1/CCT5/NCAPD3/FBXO4/PELO/CENPH/TTN/CCT8/AIFM1/NSMCE2/H4C8/MIS18A/RECQL4/RACGAP1/SYCE2/SMC6/CCT3/CIP2A/SGO2/TOPBP1/HMGB2/MAD2L1/PTTG1/RAD21/SUN1/ABRAXAS2/CENPN/PLK1/GOLGA2/CDT1/FEN1/CHTF8/NSMCE1/DFFB/BUB1/CENPX/NFRKB/EXOSC10/TRAPPC12/PPP1CA/DCP2/ZWILCH/BANF1/RMI2/RUVBL1/ANAPC2/RRS1/RCC1/NOP10/CEP97/SKA2/RUVBL2/CHEK2/KMT5A/H1-5/KNTC1/DRG1/PPP1CC/MCRS1/CENPP/SLX4/HMGB1/XRCC6/H4C3/H3C12/H4C11/BLM/H3C4/MCMBP/LDB1/ZNF830/CHAMP1/SMC5/PRC1/EHMT2/MSH5/ZBTB48/MZT1/LCMT1/NUP62/DDX12P/PHB2/PRKDC/CHMP4A/EID3/LSM14A/TEN1/H4C15/H4C12/H4C6/H3C11/UHRF1/H4C9/H4C5/H4C4/H3C7/H4C1/H4C2/H3C10/H3C2/H3C3",226
"GO:0000725","recombinational repair","100/3142","178/10476",0.561797752808989,1.87313598294938,7.68997799632436,2.22695355527746e-13,5.46383054787324e-10,5.2556103904548e-10,"RECQL/CREBBP/REV3L/MBTD1/BRCA1/RAD51/POLQ/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/SIRT6/XRCC5/PALB2/RAD54L/CDC7/MCM5/CSNK2A1/RBBP8/HTATSF1/NBN/MCM4/RPA3/RAD51C/C1QBP/TIMELESS/MCM3/RNF8/PSMD14/MAD2L2/RPA2/SLF2/EPC1/SHLD2/HROB/MCM8/XRCC3/HELB/YEATS4/SEM1/GINS2/SLX1A/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/ZGRF1/NABP2/BRCA2/INTS3/PARP1/MMS22L/GINS4/CHEK1/PPP4C/SFR1/NSMCE2/ANKLE1/UBQLN4/TONSL/RECQL4/MRNIP/SMC6/VPS72/PPP4R2/TOPBP1/CGAS/RAD21/POLL/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/RHNO1/NABP1/RMI2/RUVBL1/UBE2N/DMAP1/FANCB/RUVBL2/KMT5A/PARPBP/FANCM/H2AX/SLX4/XRCC6/RAD54B/BLM/SMC5/ERCC6/AP5Z1/USP51/EID3/UHRF1",100
"GO:0006302","double-strand break repair","143/3142","286/10476",0.5,1.66709102482495,7.48670421817416,5.4998633163768e-13,8.99594309782031e-10,8.65311828443282e-10,"RECQL/CREBBP/MPND/REV3L/MBTD1/PPP5C/BRCA1/TDP1/ARID1B/RAD51/POLQ/HPF1/NUCKS1/CSNK2A2/ZFYVE26/XRCC1/MCM2/SMARCE1/ACTB/MCM6/MLH1/SIRT6/XRCC5/DDX1/PALB2/RAD54L/FH/CDC7/BCL7C/MCM5/CSNK2A1/RBBP8/POLA1/HTATSF1/NBN/MCM4/BABAM1/RPA3/RAD51C/C1QBP/SMARCD2/NSD2/PRPF19/BCL7A/FOXM1/TIMELESS/MCM3/RNF8/PSMD14/MAD2L2/RPA2/SLF2/EPC1/SHLD2/POLM/DEK/MCM8/XRCC3/HELB/YEATS4/SEM1/POT1/PARP2/GINS2/BRME1/SLX1A/FIGNL1/SLF1/EPC2/BRIP1/ACTL6A/ACTR2/DNA2/SMARCAL1/ZGRF1/NABP2/BRCA2/TP53/INTS3/PARP1/FANCD2/MMS22L/CDCA5/GINS4/CHEK1/PPP4C/XRCC4/EME1/SFR1/NSMCE2/BABAM2/ANKLE1/UBQLN4/TONSL/RECQL4/MRNIP/SMC6/VPS72/PPP4R2/TOPBP1/HMGB2/CGAS/RAD21/POLL/MCM7/PLK1/HDGFL2/NUDT16L1/RFWD3/FEN1/UBE2V2/NSMCE1/RHNO1/KDM2A/NABP1/RMI2/RUVBL1/UBE2N/DMAP1/FANCB/RUVBL2/CHEK2/KMT5A/PARPBP/NHEJ1/FANCM/H2AX/SLX4/HMGB1/XRCC6/RAD54B/BLM/EME2/SMC5/SPIRE2/ERCC6/AP5Z1/USP51/PRKDC/EID3/PPP4R3B/UHRF1/PAXX",143
"GO:0007059","chromosome segregation","162/3142","336/10476",0.482142857142857,1.60755205965263,7.40873075386202,7.95107987817073e-13,9.75398724054594e-10,9.38227425624146e-10,"POLDIP2/CDC27/BAZ1B/NCAPD2/BRCA1/TACC3/CENPQ/SPDL1/TPR/ARID1B/NDC1/RNF4/STAG3/CSNK2A2/RAD18/SMC1A/SMARCE1/NUP37/ACTB/MLH1/SPAG5/NDC80/CHMP5/AURKA/HAUS4/CDC23/AAAS/SRPK1/BCL7C/CENPM/CCNB1IP1/MYBL2/TUBB1/CSNK2A1/CHMP4B/FAM83D/RAB11A/ERCC2/CCNE1/SMC3/KPNB1/SMARCD2/RANGRF/ANAPC15/BCL7A/FBXO5/SENP6/NR3C1/SMC4/ECT2/TTL/ACTR3/MAD2L2/CDC20/CENPF/CENPL/KIF18A/GPSM2/ZWINT/CENPK/STIL/MAD2L1BP/XRCC3/TUBGCP3/TUBGCP6/KNSTRN/SGO1/MAU2/CEP85/TUBG1/TOP2A/RAN/CCNB1/ARL8B/APC/ESPL1/SETDB2/BRIP1/ACTL6A/SMC2/PPP2R1B/NUSAP1/HAUS2/TUBGCP4/ACTR2/CENPO/CENPE/KATNB1/ANAPC11/P3H4/ITGB3BP/KIF2C/NUF2/FANCD2/DYNC1LI1/CDCA5/NCAPG2/HAUS6/MKI67/EML3/INCENP/DSN1/NCAPD3/CENPU/HAUS1/CENPH/TTN/NSMCE2/MIS18A/RACGAP1/SYCE2/SMC6/SGO2/MAD2L1/PTTG1/RAD21/SUN1/DCAF13/ABRAXAS2/CENPN/CIAO2B/CIAO2A/PLK1/GOLGA2/CDT1/DDB1/SAC3D1/BUB1/CENPX/TRAPPC12/ZWILCH/CENPS/PPP2R2D/RMI2/ANAPC2/RRS1/RCC2/RCC1/CEP97/SKA2/CHEK2/KMT5A/KNTC1/DRG1/CENATAC/PPP1CC/CENPP/PLSCR1/TLK1/CHAMP1/SMC5/PRC1/EHMT2/MSH5/MZT1/LCMT1/NUP62/PPP2R2A/HAUS5/CHMP4A/LSM14A/UHRF1",162
"GO:0006260","DNA replication","121/3142","235/10476",0.514893617021277,1.71674905535165,7.27343447413411,2.74549559252868e-12,2.69442937450764e-09,2.59174783934707e-09,"RECQL/REV3L/BRCA1/POLA2/RTF2/RFC1/JADE2/RFC2/RAD51/POLQ/POLD1/WDR18/NUCKS1/MCM2/TIPIN/MCM6/POLD3/ATRX/ORC1/SUPT16H/CDC7/MCM5/POLE2/PTK6/POLI/RBBP8/POLA1/RBBP7/NBN/MCM4/RNASEH2A/CCNE1/LIG1/RPA3/SMC3/GLI1/CDK2AP1/RFC5/TIMELESS/FBXO5/MCM3/GMNN/BCL6/INO80D/ORC4/UCHL5/RPA2/SET/PDS5A/CDK2/TTF1/MCM8/HELB/CHTF18/DUT/PCNA/RFC3/USP37/ACTL6A/DNA2/SMARCAL1/BARD1/BRCA2/ESCO1/TP53/PARP1/CCNA2/PRIM2/MMS22L/SSRP1/CHEK1/TBRG1/EME1/DONSON/TONSL/RECQL4/DBF4B/RBBP4/S100A11/TOPBP1/RFC4/PRIMPOL/POLL/WEE1/MCM7/FAM111A/RRM1/CDT1/CHAF1A/TK1/RFWD3/FEN1/CHTF8/CENPX/NFRKB/SLFN11/KCTD13/CENPS/POLD4/RMI2/RUVBL1/ATAD5/POLE/ZBTB38/GINS3/RUVBL2/TRAIP/MCRS1/FANCM/SLX4/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/ZNF830/EHMT2/NT5M/TREX1/POLG2",121
"GO:0000724","double-strand break repair via homologous recombination","95/3142","172/10476",0.552325581395349,1.84155403905082,7.283715273806,3.4433185149898e-12,2.81606065884249e-09,2.70874389845864e-09,"RECQL/CREBBP/REV3L/MBTD1/BRCA1/RAD51/POLQ/NUCKS1/ZFYVE26/XRCC1/MCM2/ACTB/MCM6/SIRT6/PALB2/RAD54L/CDC7/MCM5/CSNK2A1/RBBP8/HTATSF1/NBN/MCM4/RPA3/RAD51C/C1QBP/TIMELESS/MCM3/RNF8/PSMD14/MAD2L2/RPA2/SLF2/EPC1/SHLD2/MCM8/XRCC3/HELB/YEATS4/SEM1/GINS2/SLX1A/FIGNL1/SLF1/EPC2/ACTL6A/ACTR2/NABP2/BRCA2/INTS3/PARP1/MMS22L/GINS4/CHEK1/PPP4C/SFR1/NSMCE2/ANKLE1/UBQLN4/TONSL/RECQL4/MRNIP/SMC6/VPS72/PPP4R2/TOPBP1/CGAS/RAD21/POLL/MCM7/PLK1/HDGFL2/RFWD3/FEN1/NSMCE1/NABP1/RMI2/RUVBL1/UBE2N/DMAP1/FANCB/RUVBL2/KMT5A/PARPBP/FANCM/H2AX/SLX4/RAD54B/BLM/SMC5/ERCC6/AP5Z1/USP51/EID3/UHRF1",95
"GO:0006310","DNA recombination","142/3142","293/10476",0.484641638225256,1.61588345068357,6.99848644913844,1.3225737952372e-11,9.27124230461277e-09,8.91792616217084e-09,"RECQL/CREBBP/REV3L/MBTD1/BRCA1/HMGB3/RAD51/POLQ/NUCKS1/TCF3/ZFYVE26/XRCC1/MCM2/TBX21/ACTB/MCM6/MLH1/UNG/SIRT6/XRCC5/PALB2/RAD54L/CDC7/MCM5/CCNB1IP1/APEX1/CSNK2A1/RBBP8/HTATSF1/NBN/MCM4/ERCC2/TGFB1/RPA3/RAD51C/C1QBP/NSD2/TIMELESS/MCM3/RNF8/MSH3/BCL6/INO80D/PSMD14/MSH6/MAD2L2/UCHL5/RPA2/SLF2/EPC1/SHLD2/PMS2/POLM/H1-3/HROB/MCM8/XRCC3/HELB/YEATS4/SEM1/GINS2/TOP2A/BRME1/SLX1A/FIGNL1/SLF1/SWAP70/EPC2/BRIP1/ACTL6A/ACTR2/BARD1/ZGRF1/NABP2/BRCA2/INTS3/PARP1/FANCD2/MMS22L/GINS4/CHEK1/PPP4C/XRCC4/EME1/SFR1/NSMCE2/ANKLE1/UBQLN4/TONSL/RECQL4/MRNIP/SMC6/VPS72/PPP4R2/TOPBP1/HMGB2/CGAS/RAD21/POLL/MCM7/PLK1/HDGFL2/RFWD3/FEN1/APEX2/NSMCE1/CENPX/NFRKB/RHNO1/NABP1/CENPS/RMI2/RUVBL1/ATAD5/CNTD1/UBE2N/DMAP1/FANCB/RUVBL2/KMT5A/H1-5/PARPBP/NHEJ1/MCRS1/FANCM/H2AX/SLX4/HMGB1/XRCC6/RAD54B/BLM/EME2/SMC5/MSH5/TSN/TREX1/ERCC6/AP5Z1/USP51/PRKDC/EID3/UHRF1",142
"GO:0000075","cell cycle checkpoint signaling","87/3142","158/10476",0.550632911392405,1.83591036911102,6.92947205299818,3.50089998973515e-11,2.1473645312038e-08,2.06553099394374e-08,"BRCA1/SPDL1/TPR/RAD51/TIPIN/NDC80/CDC14B/ORC1/WDR76/WAC/CDC5L/TELO2/TTI1/E2F1/RBBP8/NBN/DOT1L/BABAM1/PRPF19/ANAPC15/TIMELESS/CCNG1/ATF2/FBXO6/MAD2L2/CDC20/CENPF/RPA2/ZWINT/CDK2/MAD2L1BP/XRCC3/EIF2AK4/TTI2/CCNB1/CLOCK/APC/TAOK3/BRIP1/MDC1/DNA2/BARD1/NABP2/BRCA2/MBTPS1/TP53/TIPRL/NUF2/INTS7/INTS3/FANCD2/DYNC1LI1/DGKZ/INCENP/CHEK1/RAD9B/FBXO4/EME1/BABAM2/CCAR2/DONSON/BRSK1/TAOK1/MRNIP/TOPBP1/MAD2L1/PLK1/CDT1/RFWD3/BUB1/RHNO1/NABP1/ZWILCH/PTPN11/CHEK2/KNTC1/FOXO4/PABIR1/H2AX/BLM/EME2/ZNF830/GIGYF2/LCMT1/TREX1/ERCC6/PRKDC",87
"GO:0006261","DNA-templated DNA replication","78/3142","137/10476",0.569343065693431,1.89829342972768,6.92705909224269,4.0146423829465e-11,2.18887224145761e-08,2.1054568941675e-08,"RECQL/REV3L/BRCA1/POLA2/RTF2/RFC1/RFC2/RAD51/POLQ/POLD1/WDR18/NUCKS1/MCM2/TIPIN/MCM6/POLD3/ATRX/ORC1/CDC7/MCM5/POLE2/RBBP8/POLA1/NBN/MCM4/CCNE1/LIG1/CDK2AP1/RFC5/TIMELESS/FBXO5/MCM3/GMNN/BCL6/ORC4/CDK2/MCM8/HELB/PCNA/RFC3/DNA2/SMARCAL1/BARD1/BRCA2/PARP1/PRIM2/MMS22L/EME1/DONSON/TONSL/DBF4B/TOPBP1/RFC4/PRIMPOL/MCM7/FAM111A/RRM1/CDT1/TK1/RFWD3/FEN1/CENPX/SLFN11/CENPS/POLD4/ATAD5/POLE/GINS3/TRAIP/FANCM/BLM/MCMBP/EME2/PRIM1/WDHD1/BAZ1A/ZNF830/POLG2",78
"GO:0044770","cell cycle phase transition","185/3142","426/10476",0.434272300469484,1.44794290888552,6.17808797022391,1.43962365691775e-09,7.0642332844954e-07,6.79502366065179e-07,"CDC27/KMT2E/PKD1/BRCA1/TACC3/PIAS1/SPDL1/TPR/ARID1B/RAD51/BCAT1/TCF3/SMARCE1/TIPIN/ACTB/UBE2A/DNM2/RBL1/NDC80/CDC14B/ZNF324/ORC1/AURKA/PSME1/WDR76/CDC23/WAC/CDC5L/CDC7/BCL7C/CDKN3/TELO2/PSME2/TTI1/E2F1/CHMP4B/FAM83D/RBBP8/RAB11A/NBN/ERCC2/DOT1L/CCNE1/TGFB1/BABAM1/RAD51C/SMARCD2/PRPF19/ANAPC15/BCL7A/GLI1/FOXM1/TIMELESS/PTPN6/FBXO5/CCNG1/ATF2/FBXO6/MAD2L2/MIIP/CDC20/CENPF/RPA2/CCND2/CPSF3/KHDRBS1/ZWINT/CDK2/STIL/CKS2/USP22/MAD2L1BP/XRCC3/HSPA2/EIF2AK4/ARPP19/TTI2/CCNB1/CLOCK/APC/TAOK3/CDK4/ESPL1/MDM2/USP37/BRIP1/ACTL6A/TMEM14B/MDC1/RDX/DNA2/BARD1/TMOD3/CENPE/NABP2/BRCA2/MBTPS1/TP53/ANAPC11/AKT1/TIPRL/NUF2/INTS7/INTS3/CALM2/FANCD2/DYNC1LI1/CTDSPL/CCNA2/CDCA5/TAF1/DGKZ/INCENP/CHEK1/RAD9B/EIF4E/EPS8/FBXO4/CACUL1/EME1/LSM11/NSMCE2/APPL1/BABAM2/CCAR2/DONSON/CALM3/BRSK1/TAOK1/MRNIP/DBF4B/CCNF/TOPBP1/MAD2L1/RAD21/APBB1/WEE1/PLK1/RRM1/CDT1/DDB1/RFWD3/BUB1/AVEN/WNT10B/USP50/PLRG1/RHNO1/RRM2/MTBP/SLFN11/CKS1B/NABP1/ZWILCH/PPP2R2D/CCDC57/ATAD5/ANAPC2/POLE/RCC2/PTPN11/RCC1/LSM10/CHEK2/KNTC1/FOXO4/UBE2L3/EIF4EBP1/PABIR1/H2AX/BLM/EME2/DDRGK1/TFDP1/ZNF830/SMC5/GIGYF2/AIF1/TMSB4X/LCMT1/TREX1/MBLAC1/PHB2/ERCC6/PRKDC",185
